title,source,date,link
[안내]서울캠퍼스 건물 출입통제 지침 등 변경,학생지원부,2022-04-18,https://portal.korea.ac.kr/front/Intro.kpd
[4/18 업데이트] 코로나19 고려대학교 대응 지침(등교시 유의사항) 안내,정책기획팀,2021-07-01,https://portal.korea.ac.kr/front/Intro.kpd
[도서관] CCL 6월 멀티미디어 교육 안내,학술정보인프라부,2022-05-28,https://portal.korea.ac.kr/front/Intro.kpd
[다양성위원회] 책자 포장 근로 학생 모집(1일 단기 근로),다양성위원회,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
  [안내] 2022년 상반기 국립외교원 국민외교아카데미 대학생 외교 연수 과정 신청 접수,학생지원부,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
[KUSSO] 2022-1 대학생 사회공헌 봉사활동 실행 공모전 안내,사회공헌지원부,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
[KUSSO] 2022-1 HERO 8 연계 환경 공모전 선발 안내,사회공헌지원부,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
■ 2022학년도 학생 건강검진 안내,학생지원부,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
2022 국제하계대학 운영 조교(Staff) 모집 공고,국제교육팀,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
[국제교육팀] 2022학년도 국제하계대학 본교생 모집 공고,국제교육팀,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
2022 국제하계대학 버디(Buddy) 모집 공고,국제교육팀,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
  [고대빵] 가정의 달 선물세트 안내,식품과학종합...,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
  [고대빵] NEW 박스 케이터링 안내,식품과학종합...,2022-05-27,https://portal.korea.ac.kr/front/Intro.kpd
